t,sigma(t),X(t)
0.139,0.029934248266533382,0.9463635251956312
0.14,0.028617579629153757,0.9400850377778118
0.14100000000000001,0.028895088100006103,0.9413229474418492
0.14200000000000002,0.030333689830207,0.9480312242149199
0.14300000000000002,0.028592012892161248,0.9397327472805707
0.14400000000000002,0.028823689840019623,0.9407544857427744
0.145,0.029136268953225304,0.9421611497470816
0.146,0.030012885195079893,0.9462314039136163
0.147,0.028687543963844212,0.9399138777595804
0.148,0.02730698828879184,0.93336036094105
0.149,0.02789055982117034,0.9359994023477396
0.15,0.028240572344648957,0.9375610434203732
0.151,0.028542083744949487,0.938902848521121
0.152,0.02894663596266788,0.9407345469007801
0.153,0.02824806119264159,0.9373867790355442
0.154,0.02853019760351372,0.9386376307396374
0.155,0.028877688517212226,0.9402008449202016
0.156,0.02814329962573895,0.9366856416235739
0.157,0.030158466141781113,0.9460506078780587
0.158,0.030708417781541972,0.9486069645180077
0.159,0.02941596665874609,0.9424394736384858
0.16,0.03015990200136362,0.9458896655872708
0.161,0.02911887031910604,0.9409211342997685
0.162,0.030000965377192903,0.9450115615530479
0.163,0.031300160768782725,0.9511030979882035
0.164,0.030407973455066697,0.9468312810470247
0.165,0.031499226725625454,0.9519558973739582
0.166,0.03198806879953812,0.9542564880206623
0.167,0.03294198609336364,0.9587886409428608
0.168,0.035140492958746154,0.9693225297013537
0.169,0.034864142190099416,0.9680094403787011
0.17,0.03398944968160679,0.9637981149118255
0.171,0.032970299120864854,0.9588963234210479
0.17200000000000001,0.03205451545559795,0.9545003937901062
0.17300000000000001,0.0319910470109457,0.9541791810305189
0.17400000000000002,0.03240098927239406,0.9561157611620549
0.17500000000000002,0.0327387814414139,0.9577172318132674
0.176,0.03370715742913025,0.9623458424759366
0.177,0.033741133198632874,0.9625147208995315
0.178,0.03544854191876336,0.9707376387387235
0.179,0.03514704993289661,0.9693050903352438
0.18,0.03838691050463102,0.9850335277270226
0.181,0.039167041351434916,0.9889504720718324
0.182,0.03809666050529044,0.9837442425808527
0.183,0.03678040744536173,0.9773402491686453
0.184,0.037375274893175686,0.9802977231310626
0.185,0.03710991968567897,0.9790565221940347
0.186,0.037988498307993085,0.9834128752187176
0.187,0.038577891036655876,0.9863796264459391
0.188,0.038491687681780906,0.9860320771540636
0.189,0.0374454826970263,0.9809504133256244
0.19,0.0355991939837594,0.971955332162906
0.191,0.03507956957267289,0.969463108307635
0.192,0.036108786760486865,0.9744774424519305
0.193,0.036377760776432067,0.975828557259012
0.194,0.034885918240265185,0.9685942070989774
0.195,0.035105836697208855,0.9696818231873295
0.196,0.03557712165881304,0.9719925869557775
0.197,0.0345360091750168,0.9669655330578781
0.198,0.034733081476287495,0.9679357878634192
0.199,0.034817492590730366,0.968364633551056
0.2,0.033484190020028476,0.9619305763846352
0.201,0.0339178085200092,0.9640183075576164
0.202,0.03458924566917039,0.9672631477501489
0.203,0.03587941961071606,0.9735210582551611
0.20400000000000001,0.03715422424028812,0.9797634840445165
0.20500000000000002,0.035483265092301916,0.9716339138026887
0.20600000000000002,0.03437953122429981,0.9663031217120119
0.20700000000000002,0.035000364817268974,0.9693178530710804
0.20800000000000002,0.03562328662649563,0.9723611374755192
0.209,0.03625123173005656,0.9754474844752062
0.21,0.04090185991622098,0.9981723961520896
0.211,0.0416293753868966,1.0019166458698183
0.212,0.04308984001933951,1.0093576441389864
0.213,0.0443330384282202,1.0157795202939663
0.214,0.04518747176478314,1.0202866988451218
0.215,0.044748051116259374,1.0182264429272065
0.216,0.04574921646259583,1.0234978495863942
0.217,0.044686519193481176,1.018250122183146
0.218,0.044355842744254484,1.016739971252344
0.219,0.043696269201258534,1.0135550027151452
0.22,0.04379342316994197,1.014204908252485
0.221,0.046845567557816874,1.0298415374636707
0.222,0.0442689755296427,1.0167828618861376
0.223,0.04516937414392721,1.0215271988890242
0.224,0.04298611254089947,1.0105572559043376
0.225,0.04235832131839709,1.0075314813198912
0.226,0.043768695685211786,1.0147728585876556
0.227,0.043842442237502395,1.0153058814233136
0.228,0.04240368712501809,1.0081620481863316
0.229,0.04146489150037551,1.0035669233843374
0.23,0.04233572682297042,1.0080590394538727
0.231,0.04137828024769082,1.003369350240858
0.232,0.04165262350126119,1.0048667690986202
0.233,0.04170648870783907,1.0052628025526076
0.234,0.04085975492061055,1.001133110977351
0.23500000000000001,0.04359806391042339,1.014953194214167
0.23600000000000002,0.04442440834584801,1.019302972151748
0.23700000000000002,0.04171155371322604,1.005646445687381
0.23800000000000002,0.04194726016042734,1.0069580153548423
0.23900000000000002,0.04108418381139647,1.0027427150571766
0.24,0.042173698714527356,1.008321812350266
0.241,0.04113783139191907,1.003233083268477
0.242,0.04098723678949566,1.0025951217916729
0.243,0.041630873670385746,1.005936764270618
0.244,0.042743186032265755,1.011656545774628
0.245,0.04116549034636142,1.0038189080213653
0.246,0.040732759625011626,1.001764922630006
0.247,0.040124320048755706,0.9988285427904396
0.248,0.03929626047880079,0.994794840592907
0.249,0.04151178274334739,1.0059037695202424
0.25,0.042029103897146945,1.0086290470098955
0.251,0.04038815805034913,1.0004850808832948
0.252,0.04155362691845616,1.0064211256603344
0.253,0.04428493905446268,1.0202894729894294
0.254,0.04564623210774612,1.0274016449694672
0.255,0.04357626008103026,1.0169579360298513
0.256,0.042926223037472996,1.0138088837637205
0.257,0.04457755676504807,1.022325448131137
0.258,0.043618852870796025,1.0175973400259362
0.259,0.04419423358204687,1.0206818671921232
0.26,0.04521158485461798,1.0260401100336927
0.261,0.04394942215107965,1.0197477756750668
0.262,0.043858649976523945,1.0194473380539588
0.263,0.03955395945733412,0.997666261689799
0.264,0.03826678308534144,0.9913384911260497
0.265,0.03795950465533212,0.9898887672297426
0.266,0.03642807563121875,0.9823777362112494
0.267,0.03840929714265314,0.9921548788169204
0.268,0.03664140230058736,0.983460293486838
0.269,0.03611874138549757,0.9809390125192576
0.27,0.03628753237970294,0.9818078656065098
0.271,0.038035090871893495,0.9904302058106149
0.272,0.03626991867442261,0.9817586579367524
0.273,0.03768212830960297,0.9887341483888032
0.274,0.037701645211397856,0.9888951305566407
